pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
GJ 338 B b,Radial Velocity,2020,24.45,0.141,0.284,0.03231,Msini,4005,0.58,0.64,6.33256
GJ 3470 b,Radial Velocity,2012,3.3366496,0.0355,0.408,0.04373,Mass,3600,0.55,0.54,29.4214
GJ 3473 c,Radial Velocity,2020,15.509,0.0876,0.235,0.02331,Msini,3347,0.36,0.36,27.3644
GJ 3512 b,Radial Velocity,2019,203.59,0.338,1.27,0.463,Msini,3081,0.14,0.12,9.48637
GJ 357 c,Radial Velocity,2019,9.1247,0.061,0.148,0.0107,Msini,3505,0.34,0.34,9.44181
GJ 357 d,Radial Velocity,2019,55.661,0.204,0.209,0.01919,Msini,3505,0.34,0.34,9.44181
GJ 3634 b,Radial Velocity,2010,2.64561,0.0287,0.253,0.026,Mass,3517,0.43,0.45,20.3779
GJ 3779 b,Radial Velocity,2018,3.0232,0.026,0.245,0.02517,Msini,3324,0.28,0.27,13.743
GJ 393 b,Radial Velocity,2021,7.02679,0.05402,0.104,0.00538,Msini,3579,0.43,0.43,7.03149
GJ 3942 b,Radial Velocity,2017,6.905,0.0608,0.229,0.02246,Msini,3867,0.61,0.63,16.9287
GJ 3998 b,Radial Velocity,2016,2.64977,0.029,0.123,0.00777,Msini,3722,0.49,0.5,18.1459
GJ 3998 c,Radial Velocity,2016,13.74,0.089,0.212,0.0197,Msini,3722,0.49,0.5,18.1459
GJ 411 b,Radial Velocity,2019,12.946,0.0789,0.129,0.00846,Msini,3601,0.39,0.39,5.675773
GJ 414 A b,Radial Velocity,2021,50.8,0.2324,0.235,0.02391,Msini,4120,0.68,0.65,11.8893
GJ 414 A c,Radial Velocity,2021,749.83,1.4,0.749,0.16937,Msini,4120,0.68,0.65,11.8893
GJ 422 b,Radial Velocity,2014,20.129,0.111,0.297,0.03483,Msini,3323,0.37,0.35,12.6631
GJ 4276 b,Radial Velocity,2019,13.352,0.082,0.377,0.05213,Msini,3387,0.41,0.41,21.3362
GJ 433 b,Radial Velocity,2011,7.3705,0.062,0.208,0.01901,Msini,3461,0.5,0.48,9.06456
GJ 433 c,Radial Velocity,2014,5094.105,4.819,0.56,0.10201,Msini,3472,0.47,0.48,9.06456
GJ 433 d,Radial Velocity,2020,36.059,0.178,0.191,0.01643,Msini,3461,0.47,0.48,9.06456
GJ 436 b,Radial Velocity,2004,2.64388312,0.0291,0.372,0.07,Mass,3586.11,0.46,0.47,9.75321
GJ 480 b,Radial Velocity,2020,9.567,0.068,0.33,0.04153,Msini,3381,0.46,0.45,14.2358
GJ 486 b,Radial Velocity,2021,1.467119,0.01734,0.116,0.00887,Mass,3340,0.33,0.32,8.07426
GJ 536 b,Radial Velocity,2016,8.7076,0.06661,0.194,0.01686,Msini,3685,0.5,0.52,10.4092
GJ 581 b,Radial Velocity,2005,5.3686,0.04061,0.366,0.0497,Msini,3396,0.33,0.31,6.2981
GJ 581 c,Radial Velocity,2007,12.914,0.0721,0.197,0.0173,Msini,3396,0.33,0.31,6.2981
GJ 581 e,Radial Velocity,2009,3.149,0.02815,0.104,0.0053,Msini,3396,0.33,0.31,6.2981
GJ 625 b,Radial Velocity,2017,14.628,0.078361,0.133,0.00887,Msini,3499,0.31,0.3,6.47249
GJ 649 b,Radial Velocity,2009,598.3,1.135,1.11,0.328,Msini,3700,0.5,0.54,10.3796
GJ 667 C b,Radial Velocity,2011,7.2004,0.0505,0.199,0.018,Msini,3350,,0.33,7.24396
GJ 667 C c,Radial Velocity,2011,28.14,0.125,0.158,0.012,Msini,3350,,0.33,7.24396
GJ 667 C e,Radial Velocity,2013,62.24,0.213,0.129,0.008,Msini,3350,,0.33,7.24396
GJ 667 C f,Radial Velocity,2013,39.026,0.156,0.129,0.008,Msini,3350,,0.33,7.24396
GJ 667 C g,Radial Velocity,2013,256.2,0.549,0.177,0.014,Msini,3350,,0.33,7.24396
GJ 674 b,Radial Velocity,2007,4.6938,0.039,0.297,0.035,Msini,3600,0.36,0.35,4.54896
GJ 676 A b,Radial Velocity,2010,1056.80005,1.82,1.13,6.7,Mass,3734,0.69,0.73,16.0272
GJ 676 A c,Radial Velocity,2016,7337,6.6,1.13,6.8,Msini,4006.03,0.65,0.63,16.0272
GJ 676 A d,Radial Velocity,2012,3.6005,0.0413,0.173,0.014,Msini,4006.03,0.65,0.71,16.0272
GJ 676 A e,Radial Velocity,2012,35.39,0.187,0.247,0.025,Msini,4006.03,0.65,0.71,16.0272
GJ 682 b,Radial Velocity,2014,17.478,0.08,0.173,0.01384,Msini,3028,0.3,0.27,5.00671
GJ 682 c,Radial Velocity,2014,57.32,0.176,0.258,0.02737,Msini,3028,0.3,0.27,5.00671
GJ 685 b,Radial Velocity,2019,24.16,0.1344,0.263,0.02832,Msini,3816,0.54,0.55,14.3155
GJ 687 b,Radial Velocity,2014,38.142,0.163,0.385,0.05412,Msini,3413,0.42,0.4,4.54939
GJ 687 c,Radial Velocity,2020,727.562,1.165,0.369,0.05034,Msini,3413,0.42,0.4,4.54939
GJ 720 A b,Radial Velocity,2021,19.466,0.119,0.336,0.04292,Msini,3837,0.56,0.57,15.5575
GJ 740 b,Radial Velocity,2021,2.37756,0.029,0.137,0.00931,Msini,3913,0.56,0.58,11.1017
GJ 832 b,Radial Velocity,2008,3657,3.56,1.25,0.68,Msini,3472,0.44,0.45,4.96435
GJ 832 c,Radial Velocity,2014,35.68,0.163,0.195,0.017,Msini,3472,0.44,0.45,4.96435
GJ 849 b,Radial Velocity,2006,1915,2.409,1.24,0.9,Msini,3562.68,0.47,0.49,8.80058
GJ 849 c,Radial Velocity,2014,7068,4.974,1.25,0.702,Msini,3562.68,0.47,0.49,8.80058
GJ 86 b,Radial Velocity,1999,15.76491,0.11,1.15,4.42,Msini,5182,0.77,0.93,10.7836
GJ 876 b,Radial Velocity,1998,61.1166,0.208317,1.19,2.2756,Mass,3293.74,0.3,0.32,4.67517
GJ 876 c,Radial Velocity,2000,30.0881,0.12959,1.25,0.7142,Mass,3293.74,0.3,0.32,4.67517
GJ 876 d,Radial Velocity,2005,1.93778,0.020807,0.224,0.021,Mass,3293.74,0.3,0.32,4.67517
GJ 876 e,Radial Velocity,2010,124.26,0.3343,0.35,0.046,Mass,3271,0.3,0.32,4.67517
GJ 887 b,Radial Velocity,2020,9.262,0.068,0.168,0.01321,Msini,3688,0.47,0.49,3.29
GJ 887 c,Radial Velocity,2020,21.789,0.12,0.238,0.02391,Msini,3688,0.47,0.49,3.29
GJ 9066 b,Radial Velocity,2020,241.883,0.403,0.544,0.09722,Msini,3305,0.18,0.15,4.471
GJ 9066 c,Radial Velocity,2020,767.887,0.87,0.892,0.22528,Msini,3305,0.18,0.15,4.471
GJ 96 b,Radial Velocity,2018,73.94,0.291,0.417,0.06186,Msini,3785,0.58,0.6,11.9315
GJ 9689 b,Radial Velocity,2020,18.27,0.1139,0.274,0.03036,Msini,3836,0.57,0.59,30.6203
Gl 378 b,Radial Velocity,2019,3.822,0.039435,0.327,0.04097,Msini,3879,0.56,0.56,14.9545
Gl 49 b,Radial Velocity,2019,13.8508,0.0905,0.2,0.01771,Msini,3805,0.51,0.52,9.8528
Gl 686 b,Radial Velocity,2018,15.53,0.091,0.22,0.02084,Msini,3656,0.43,0.43,8.15728
HAT-P-11 c,Radial Velocity,2018,3407,4.13,1.19,2.3,Mass,4780,0.68,0.81,37.7647
HAT-P-17 c,Radial Velocity,2010,5584,5.6,1.17,3.4,Msini,5336.96,0.84,0.92,92.3831
HAT-P-44 c,Radial Velocity,2014,872.2,1.752,1.16,4,Msini,5295,0.95,0.94,347.85
HATS-59 c,Radial Velocity,2018,1422,2.504,1.1,12.7,Msini,5670,1.04,1.04,642.884
HD 100655 b,Radial Velocity,2011,157.57001,0.68,1.21,1.61,Msini,4891,10.06,2.28,137.178
HD 100777 b,Radial Velocity,2007,383.70001,1.03,1.23,1.03,Msini,5533,1.04,0.83,49.5336
HD 10180 c,Radial Velocity,2010,5.75969,0.06412,0.328,0.04122,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 10180 d,Radial Velocity,2010,16.357,0.12859,0.308,0.03697,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 10180 e,Radial Velocity,2010,49.748,0.2699,0.481,0.079,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 10180 f,Radial Velocity,2010,122.744,0.4929,0.468,0.0752,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 10180 g,Radial Velocity,2010,604.67,1.427,0.438,0.0673,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 10180 h,Radial Velocity,2010,2205,3.381,0.838,0.203,Msin(i)/sin(i),5911,1.11,1.06,38.9607
HD 101930 b,Radial Velocity,2005,70.46,0.3,0.949,0.25,Msini,5108,0.86,0.57,30.0274
HD 102117 b,Radial Velocity,2005,20.8133,0.15,0.756,0.17,Msini,5655,1.23,1.06,39.5792
HD 102195 b,Radial Velocity,2006,4.11377,0.05,1.27,0.41,Msini,5301,0.82,0.76,29.3386
HD 102272 b,Radial Velocity,2008,127.58,0.51,1.15,4.94,Msini,4790,10.3,1.45,347.097
HD 102329 b,Radial Velocity,2011,778.09998,1.81,1.12,8.16,Msini,4745,9.82,3.21,217.107
HD 102329 c,Radial Velocity,2018,1123,,1.21,1.52,Msini,4830,6.3,1.3,217.107
HD 102365 b,Radial Velocity,2010,122.1,0.46,0.369,0.05,Msini,5630,0.95,0.85,9.2894
HD 102843 b,Radial Velocity,2019,3090.942,4.074,1.17,0.35837,Msini,5436,0.96,0.95,62.758
HD 102956 b,Radial Velocity,2010,6.4947,0.0807,1.23,0.96,Msini,4985,4.55,1.66,121.89
HD 103197 b,Radial Velocity,2009,47.84,0.25,0.52,0.09,Msini,5250,0.88,0.8,57.1463
HD 103720 b,Radial Velocity,2014,4.5557,0.0498,1.26,0.62,Msini,5017,0.73,0.79,45.5352
HD 103774 b,Radial Velocity,2013,5.8881,0.07,1.19,0.367,Msini,6489,1.58,1.33,56.4089
HD 103949 b,Radial Velocity,2019,120.878,0.439,0.299,0.03524,Msini,4792,0.75,0.77,26.4997
HD 104067 b,Radial Velocity,2009,55.806,0.26,0.729,0.16,Msini,4937,0.74,0.62,20.3632
HD 10442 b,Radial Velocity,2014,1032.3,2.01,1.21,1.487,Msini,4912,1.97,1.01,135.374
HD 104985 b,Radial Velocity,2003,199.505,0.95,1.12,8.3,Msini,4877,11,2.3,100.576
HD 106252 b,Radial Velocity,2002,1531,2.61,1.13,6.93,Msini,5874,1.1,1.01,38.185
HD 106270 b,Radial Velocity,2011,1888,3.34,1.11,10.13,Msini,5509,2.66,1.39,93.808
HD 10647 b,Radial Velocity,2006,989.2,2.015,1.23,0.94,Msini,6218,1.1,1.11,17.3357
HD 106515 A b,Radial Velocity,2012,3630,4.59,1.11,9.61,Msini,5362,1.62,0.97,34.0915
HD 10697 b,Radial Velocity,1999,1075.69,2.14,1.13,6.383,Msini,5600,1.79,1.13,33.1205
HD 107148 b,Radial Velocity,2005,48.056,0.269,0.856,0.21,Msini,5797,1.17,1.12,49.4156
HD 107148 c,Radial Velocity,2021,18.3267,0.1407,0.42,0.0626,Msini,5752.92,1.17,1.11,49.4156
HD 108147 b,Radial Velocity,2002,10.8985,0.102,0.973,0.261,Msini,6255.73,1.21,1.22,38.92
HD 108341 b,Radial Velocity,2014,1129,2,1.17,3.5,Msini,5122,0.79,0.84,48.9102
HD 108863 b,Radial Velocity,2011,437.7,1.32,1.18,2.414,Msini,4878,5.74,1.59,164.742
HD 108874 b,Radial Velocity,2002,394.48123,1.04,1.21,1.42,Msini,5600,1.05,1.1,59.5175
HD 108874 c,Radial Velocity,2005,1624,2.659,1.23,0.99,Msini,5551,1.09,0.95,59.5175
HD 109246 b,Radial Velocity,2010,68.27,0.33,1.24,0.86,Msini,5844,1.07,1.2,67.8349
HD 109271 b,Radial Velocity,2013,7.8543,0.079,0.385,0.054,Msini,5783,1.29,1.05,55.8716
HD 109271 c,Radial Velocity,2013,30.93,0.196,0.47,0.076,Msini,5783,1.29,1.05,55.8716
HD 109286 b,Radial Velocity,2021,520.1,1.259,1.17,2.99,Msini,5694,1.09,0.98,55.4156
HD 109749 b,Radial Velocity,2005,5.239891,0.0615,0.993,0.27,Msini,5824,1.22,1.13,63.0821
HD 10975 b,Radial Velocity,2021,283.8,0.95,1.28,0.45,Msini,4840,11.16,1.41,116.506
HD 110014 b,Radial Velocity,2009,835.477,2.14,1.11,11.09,Msini,4445,20.9,2.17,100.758
HD 110113 c,Radial Velocity,2021,6.744,0.068,0.288,0.03304,Msini,5732,0.97,1,106.307
HD 111232 b,Radial Velocity,2003,1143,1.97,1.13,7.14,Msini,5512,0.9,0.84,28.9571
HD 111591 b,Radial Velocity,2017,1056.4,2.5,1.15,4.4,Msini,4884,8.03,1.94,114.166
HD 111998 b,Radial Velocity,2016,825.9,1.82,1.15,4.51,Msini,6557,1.45,1.18,33.2237
HD 112640 b,Radial Velocity,2020,613.2,1.7,1.15,5,Msini,4155,39,1.8,323.335
HD 113337 b,Radial Velocity,2013,324,0.92,1.18,2.83,Msini,6576.6,1.5,1.4,36.18
HD 113538 b,Radial Velocity,2010,663.2,1.24,1.18,0.36,Msini,4462,0.53,0.58,16.2817
HD 113538 c,Radial Velocity,2010,1818,2.44,1.24,0.93,Msini,4462,0.53,0.58,16.2817
HD 113996 b,Radial Velocity,2017,610.2,1.6,1.14,6.3,Msini,4181,25.11,1.49,116.334
HD 114386 b,Radial Velocity,2003,937.70001,1.73,1.22,1.14,Msini,4836,0.76,0.6,27.9243
HD 114613 b,Radial Velocity,2014,4000,5.34,1.17,0.357,Msini,5641,2.14,1.27,20.2836
HD 114729 b,Radial Velocity,2002,1121.79,2.067,1.24,0.825,Msini,5844,1.47,0.94,37.8063
HD 114762 b,Radial Velocity,1989,83.9151,0.36,1.11,10.69,Msini,5869,1.2,0.8,40.1949
HD 114783 b,Radial Velocity,2001,493.7,1.16,1.23,1.1,Msini,5135,0.84,0.85,21.0628
HD 114783 c,Radial Velocity,2018,4319,4.97,1.26,0.611,Msini,5126.74,0.84,0.85,21.0628
HD 11506 b,Radial Velocity,2007,1622.1,2.9,1.15,4.83,Msini,6030,1.34,1.24,51.261
HD 11506 c,Radial Velocity,2008,223.41,0.774,1.27,0.408,Msini,6030,1.34,1.24,51.261
HD 115954 b,Radial Velocity,2021,3700,5,1.12,8.29,Msini,5957,1.21,1.18,87.6437
HD 116029 b,Radial Velocity,2011,670,1.65,1.21,1.4,Msini,4819,4.89,0.83,123.245
HD 116029 c,Radial Velocity,2018,907,,1.22,1.27,Msini,4951,4.6,1.33,123.245
HD 117207 b,Radial Velocity,2004,2621.75,3.787,1.2,1.926,Msini,5732,1.07,1.05,32.3547
HD 11755 b,Radial Velocity,2015,433.70001,1.09,1.14,5.63,Msini,4312,20.58,0.72,235.045
HD 117618 b,Radial Velocity,2004,25.8,0.18,0.766,0.174,Msini,5990,1.2,1.08,37.7781
HD 118203 b,Radial Velocity,2005,6.1335,0.07,1.18,2.79,Msini,5864,2.06,1.84,92.2589
HD 11964 b,Radial Velocity,2005,1945,3.16,1.26,0.622,Msini,5303,2.01,0.91,33.5369
HD 11964 c,Radial Velocity,2008,37.91,0.229,0.48,0.0788,Msini,5303,2.01,0.91,33.5369
HD 11977 b,Radial Velocity,2005,711,1.93,1.13,6.54,Msini,4970,10.09,1.91,67.9331
HD 120084 b,Radial Velocity,2013,2082,4.3,1.15,4.5,Msini,4892,9.12,2.39,103.044
HD 121504 b,Radial Velocity,2003,63.33,0.33,1.21,1.51,Msini,6027,1.07,1.62,41.6592
HD 124330 b,Radial Velocity,2021,270.66,0.86,1.25,0.75,Msini,5873,1.3,1.15,60.1977
HD 12484 b,Radial Velocity,2016,58.83,0.297,1.17,2.98,Msini,5920,1,1.01,48.3367
HD 125595 b,Radial Velocity,2009,9.6737,0.08,0.214,0.02,Msini,4691,0.74,0.29,28.1989
HD 125612 b,Radial Velocity,2007,557.04,1.372,1.17,3.1,Msini,5841,1.05,1.11,57.6207
HD 125612 c,Radial Velocity,2009,4.15514,0.0524,0.389,0.055,Msini,5841,1.05,1.11,57.6207
HD 125612 d,Radial Velocity,2009,2835,4.06,1.13,7.28,Msini,5841,1.05,1.11,57.6207
HD 12648 b,Radial Velocity,2015,133.60001,0.54,1.2,1.96,Msini,4835,11.02,0.67,182.192
HD 126525 b,Radial Velocity,2018,960.41,1.837,0.919,0.237,Msini,5638,0.98,0.9,37.6506
HD 12661 b,Radial Velocity,2000,262.70862,0.84,1.18,2.43,Msini,5645,1.2,1.2,37.8478
HD 12661 c,Radial Velocity,2002,1708,2.8145,1.2,1.812,Msini,5748,1.11,1.02,37.8478
HD 126614 b,Radial Velocity,2009,1244,2.37,1.27,0.41,Msini,5568,1.32,1.26,73.0961
HD 128311 b,Radial Velocity,2002,453.019,1.084,1.2,1.769,Msini,4965,0.76,0.83,16.3292
HD 128311 c,Radial Velocity,2005,921.538,1.74,1.16,3.789,Mass,4965,0.76,0.83,16.3292
HD 128356 b,Radial Velocity,2016,298.2,0.87,1.24,0.89,Msini,4875,0.85,0.65,26.1548
HD 129445 b,Radial Velocity,2009,1840,2.9,1.21,1.6,Msini,5605,1.18,0.99,67.4386
HD 130322 b,Radial Velocity,1999,10.70871,0.0925,1.22,1.15,Msini,5387,0.85,0.92,31.8766
HD 131496 b,Radial Velocity,2011,896,2.01,1.2,1.8,Msini,4846,4.44,1.34,131.849
HD 13167 b,Radial Velocity,2018,2613,4.1,1.17,3.31,Msini,5671,2.39,1.35,148.934
HD 13189 b,Radial Velocity,2005,471.60001,1.25,1.11,10.95,Msini,4175,38.41,2.24,497.823
HD 132406 b,Radial Velocity,2007,974,1.98,1.14,5.38,Msini,5783,1.34,1.03,70.7832
HD 132563 b,Radial Velocity,2011,1544,2.62,1.21,1.49,Msini,6289,1.3,1.23,105.155
HD 133131 A b,Radial Velocity,2016,649,1.44,1.21,1.42,Msini,5799,0.96,0.95,51.4736
HD 133131 A c,Radial Velocity,2016,3568,4.49,1.28,0.42,Msini,5799,0.96,0.95,51.4736
HD 133131 B b,Radial Velocity,2016,5769,6.15,1.18,2.5,Msini,5805,0.99,0.93,51.2993
HD 134060 b,Radial Velocity,2019,3.2696,0.0444,0.282,0.0318,Msini,5966,1.16,1.09,24.0125
HD 134060 c,Radial Velocity,2019,1291.5646,2.3928,0.527,0.0922,Msini,5966,1.16,1.09,24.0125
HD 134987 b,Radial Velocity,1999,258.17999,0.81,1.21,1.61,Msini,5736,1.22,1.1,26.1804
HD 134987 c,Radial Velocity,2009,5000,5.8,1.24,0.82,Msini,5585,1.25,1.1,26.1804
HD 136352 b,Radial Velocity,2019,11.57797,0.0964,0.148,0.01485,Mass,5664,1.06,0.87,14.682
HD 136352 c,Radial Velocity,2019,27.59221,0.1721,0.26,0.03536,Mass,5664,1.06,0.87,14.682
HD 136352 d,Radial Velocity,2019,107.245,0.425,0.229,0.02775,Mass,5664,1.06,0.87,14.682
HD 136418 b,Radial Velocity,2009,464.29999,1.29,1.19,2.14,Msini,4989,3.78,1.48,105.168
HD 136925 b,Radial Velocity,2021,4540,5.13,1.24,0.84,Msini,5773.19,1.19,0.88,47.874
HD 137388 b,Radial Velocity,2011,330,0.89,0.832,0.2,Msini,5181,0.88,0.68,40.4841
HD 137496 c,Radial Velocity,2021,479.9,1.2163,1.13,7.66,Msini,5799,1.59,1.04,155.317
HD 13808 b,Radial Velocity,2021,14.1815,0.10519,0.299,0.03524,Msini,5035,0.78,0.77,28.2305
HD 13808 c,Radial Velocity,2021,53.753,0.2554,0.279,0.03134,Msini,5035,0.78,0.77,28.2305
HD 13908 b,Radial Velocity,2013,19.382,0.154,1.24,0.865,Msini,6255,1.67,1.29,79.5515
HD 13908 c,Radial Velocity,2013,931,2.03,1.15,5.13,Msini,6255,1.67,1.29,79.5515
HD 13931 b,Radial Velocity,2009,4218,5.15,1.19,2.2,Msini,5867,1.25,1.3,47.3963
HD 139357 b,Radial Velocity,2008,1125.7,2.36,1.11,9.76,Msini,4700,11.47,1.35,112.09
HD 14067 b,Radial Velocity,2014,1455,3.4,1.12,7.8,Msini,4815,12.4,2.4,142.024
HD 141004 b,Radial Velocity,2021,15.5083,0.1238,0.336,0.0429,Msini,5885.38,1.39,1.05,11.8148
HD 141399 b,Radial Velocity,2014,94.44,0.415,1.28,0.451,Msini,5600,1.39,1.07,37.0169
HD 141399 c,Radial Velocity,2014,201.99,0.689,1.22,1.33,Msini,5600,1.39,1.07,37.0169
HD 141399 d,Radial Velocity,2014,1069.8,2.09,1.22,1.18,Msini,5600,1.39,1.07,37.0169
HD 141399 e,Radial Velocity,2014,5000,5,1.25,0.66,Msini,5600,1.39,1.07,37.0169
HD 141937 b,Radial Velocity,2002,653.21997,1.5,1.11,9.69,Msini,5870,1.03,1.09,33.3622
HD 142 b,Radial Velocity,2001,349.7,1.02,1.22,1.25,Msini,6245,1.47,1.23,26.1853
HD 142 c,Radial Velocity,2012,6005,6.8,1.14,5.3,Msini,6245,1.47,1.23,26.1853
HD 142022 A b,Radial Velocity,2005,1928,2.93,1.15,4.44,Msini,5421,1.04,0.9,34.2802
HD 142245 b,Radial Velocity,2011,1299,2.78,1.17,3.07,Msini,4922,4.63,3.5,97.2305
HD 142415 b,Radial Velocity,2003,386.29999,1.06,1.2,1.67,Msini,5940,1.04,1.07,35.5318
HD 143105 b,Radial Velocity,2016,2.1974,0.0379,1.22,1.21,Msini,6380,1.65,1.51,46.7789
HD 143361 b,Radial Velocity,2008,1039.15,1.988,1.16,3.532,Msini,5507,0.92,0.97,68.5146
HD 145377 b,Radial Velocity,2008,103.95,0.45,1.14,6.02,Msini,6014,1.05,1.2,53.4884
HD 145457 b,Radial Velocity,2010,176.3,0.76,1.19,2.23,Msini,4769,10.52,1.23,135.292
HD 145675 c,Radial Velocity,2021,25000,16.4,1.14,5.8,Msini,5314.94,1,0.97,17.9323
HD 145934 b,Radial Velocity,2015,2730,4.6,1.19,2.28,Msini,4823.75,5.38,1.75,227.881
HD 1461 b,Radial Velocity,2010,5.77152,0.0634,0.216,0.02026,Msini,5765,1.15,1.02,23.4534
HD 1461 c,Radial Velocity,2015,13.5052,0.1117,0.199,0.01759,Msini,5765,1.15,1.02,23.4534
HD 147018 b,Radial Velocity,2009,44.236,0.2388,1.19,2.12,Msini,5441,0.94,0.93,40.4256
HD 147018 c,Radial Velocity,2009,1008,1.922,1.13,6.56,Msini,5441,0.94,0.93,40.4256
HD 147379 b,Radial Velocity,2017,86.78,0.323,0.519,0.08983,Msini,4156,0.63,0.6,10.7643
HD 147513 b,Radial Velocity,2003,528.4,1.32,1.22,1.21,Msini,5883,0.98,1.11,12.9032
HD 14787 b,Radial Velocity,2018,676.6,1.7,1.23,1.121,Msini,4946,5.01,1.43,119.137
HD 147873 b,Radial Velocity,2016,116.596,0.522,1.15,5.14,Msini,5972,2.29,1.38,109.055
HD 147873 c,Radial Velocity,2016,491.54,1.36,1.19,2.3,Msini,5972,2.29,1.38,109.055
HD 148156 b,Radial Velocity,2009,1027,2.45,1.24,0.85,Msini,6308,1.21,1.22,57.1289
HD 148164 b,Radial Velocity,2018,328.55,0.993,1.22,1.23,Msini,6032,1.34,1.21,77.1971
HD 148164 c,Radial Velocity,2018,5062,6.15,1.15,5.16,Msini,6032,1.34,1.21,77.1971
HD 148427 b,Radial Velocity,2009,331.5,1.04,1.22,1.3,Msini,5025,3.86,1.64,71.3499
HD 149026 b,Radial Velocity,2005,2.87589,0.04364,0.74,0.38,Mass,6179,1.41,1.42,75.8643
HD 149143 b,Radial Velocity,2005,4.07182,0.053,1.22,1.33,Msini,5856,1.44,1.2,73.2801
HD 1502 b,Radial Velocity,2011,428.5,1.262,1.18,2.75,Msini,4947,4.67,1.46,190.953
HD 150706 b,Radial Velocity,2012,5894,6.7,1.18,2.71,Msini,5961,0.96,1.17,28.2697
HD 152079 b,Radial Velocity,2009,2918.92,4.187,1.18,2.661,Msini,5907,1.13,1.15,87.8888
HD 152581 b,Radial Velocity,2011,686.5,1.66,1.2,1.869,Msini,5027,5.14,1.3,165.76
HD 153950 b,Radial Velocity,2008,499.39999,1.28,1.17,2.95,Msini,6124,1.28,1.25,48.4549
HD 154088 b,Radial Velocity,2021,18.56,0.134,0.219,0.02077,Msini,5374,0.95,0.91,18.2692
HD 154345 b,Radial Velocity,2006,3341.55884,4.21,1.24,0.82,Msini,5468,0.85,0.71,18.284
HD 154672 b,Radial Velocity,2008,163.94,0.6,1.14,5.37,Msini,5743,1.32,1.18,63.0484
HD 154857 b,Radial Velocity,2004,408.60001,1.29,1.18,2.45,Msini,5589,2.3,1.96,63.4482
HD 154857 c,Radial Velocity,2014,3452,5.36,1.18,2.58,Msini,5605,1.76,1.72,63.4482
HD 155193 b,Radial Velocity,2021,352.65,1.04,1.25,0.75,Msini,6239,1.76,1.22,57.7995
HD 155233 b,Radial Velocity,2015,818.8,2,1.18,2.6,Msini,4960,5.03,1.69,74.2309
HD 155358 b,Radial Velocity,2007,194.3,0.63,1.23,0.99,Msini,5905,1.38,1.15,43.6197
HD 155358 c,Radial Velocity,2007,391.9,1.02,1.24,0.82,Msini,5900,1.38,0.92,43.6197
HD 156279 b,Radial Velocity,2011,131.05,0.49,1.11,9.88,Msini,5453,0.95,0.95,36.1945
HD 156279 c,Radial Velocity,2018,4191,5.461,1.12,8.6,Msini,5458.24,0.97,0.93,36.1945
HD 156411 b,Radial Velocity,2009,842.2,1.88,1.25,0.74,Msini,5900,2.16,1.25,56.8655
HD 156668 b,Radial Velocity,2010,4.6455,0.05,0.167,0.013,Msini,4850,0.72,0.77,24.3323
HD 156668 c,Radial Velocity,2021,811.3,1.57,0.55,0.0991,Msini,4903.69,0.77,0.79,24.3323
HD 156846 b,Radial Velocity,2007,359.51001,1.12,1.11,10.67,Msini,6090,1.9,1.38,47.7332
HD 158038 b,Radial Velocity,2011,521,1.5,1.21,1.53,Msini,4860,4.5,1.3,94.8625
HD 158259 b,Radial Velocity,2020,2.178,,,0.00698,Msini,5801.89,1.21,1.08,27.0498
HD 158259 c,Radial Velocity,2020,3.432,,0.199,0.01762,Msini,5801.89,1.21,1.08,27.0498
HD 158259 d,Radial Velocity,2020,5.1980814,,0.195,0.01702,Msini,5801.89,1.21,1.08,27.0498
HD 158259 e,Radial Velocity,2020,7.951,,0.209,0.01913,Msini,5801.89,1.21,1.08,27.0498
HD 158259 f,Radial Velocity,2020,12.028,,0.21,0.01932,Msini,5801.89,1.21,1.08,27.0498
HD 159243 b,Radial Velocity,2013,12.62,0.11,1.22,1.13,Msini,6123,1.12,1.12,73.3055
HD 159243 c,Radial Velocity,2013,248.4,0.8,1.2,1.9,Msini,6123,1.12,1.12,73.3055
HD 159868 b,Radial Velocity,2006,1184.1,2.32,1.19,2.218,Msini,5534,2.13,1.19,55.8503
HD 159868 c,Radial Velocity,2012,351,1.032,1.25,0.768,Msini,5534,2.13,1.19,55.8503
HD 1605 b,Radial Velocity,2015,577.2,1.492,1.23,0.934,Msini,4915,3.49,1.33,88.8047
HD 1605 c,Radial Velocity,2015,2149,3.584,1.16,3.62,Msini,4915,3.49,1.33,88.8047
HD 160691 b,Radial Velocity,2000,643.25,1.497,1.2,1.676,Msini,5807,1.38,1.08,15.5981
HD 160691 c,Radial Velocity,2004,4205.8,5.235,1.2,1.814,Msini,5807,1.38,1.08,15.5981
HD 160691 d,Radial Velocity,2004,9.6386,0.09094,0.289,0.03321,Msini,5813,1.38,1.08,15.5981
HD 160691 e,Radial Velocity,2006,310.55,0.921,1.27,0.5219,Msini,5771.56,1.38,1.08,15.5981
